"Fact","Fact Note","Oklahoma","Value Note for Oklahoma","Oregon","Value Note for Oregon","Pennsylvania","Value Note for Pennsylvania","Rhode Island","Value Note for Rhode Island","South Carolina","Value Note for South Carolina","South Dakota","Value Note for South Dakota"
"Owner-occupied housing unit rate, 2018-2022","","65.9%","","63.2%","","69.2%","","62.7%","","70.9%","","68.4%",""
"Median value of owner-occupied housing units, 2018-2022","","$170,500","","$423,100","","$226,200","","$343,100","","$216,200","","$219,500",""
"Median selected monthly owner costs -with a mortgage, 2018-2022","","$1,416","","$1,984","","$1,671","","$2,110","","$1,423","","$1,557",""
"Median selected monthly owner costs -without a mortgage, 2018-2022","","$470","","$634","","$606","","$842","","$421","","$571",""
"Median gross rent, 2018-2022","","$934","","$1,373","","$1,110","","$1,195","","$1,065","","$878",""
"Building Permits, 2023","","13,405","","17,697","1","25,320","","1,169","","42,474","","7,072",""
"Households, 2018-2022","","1,522,711","","1,680,800","","5,193,727","","432,219","","2,023,085","","351,182",""
"Persons per household, 2018-2022","","2.53","","2.46","","2.42","","2.43","","2.47","","2.44",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2018-2022","","84.4%","","84.6%","","88.6%","","88.8%","","86.5%","","85.8%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2018-2022","","10.9%","","15.3%","","11.8%","","22.4%","","7.6%","","6.5%",""
"Households with a computer, percent, 2018-2022","","93.1%","","95.7%","","91.9%","","92.9%","","92.7%","","92.6%",""
"Households with a broadband Internet subscription, percent, 2018-2022","","85.6%","","90.5%","","87.1%","","89.2%","","85.0%","","86.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2018-2022","","88.9%","","91.6%","","91.7%","","89.4%","","89.3%","","92.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2018-2022","","27.3%","","35.5%","","33.8%","","36.3%","","30.6%","","30.4%",""
"With a disability, under age 65 years, percent, 2018-2022","","12.0%","","10.6%","","10.0%","","9.8%","","10.0%","","8.0%",""
"Persons without health insurance, under age 65 years, percent","","13.8%","","7.3%","","6.5%","","5.1%","","11.1%","","9.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2018-2022","","60.5%","","62.4%","","62.8%","","64.5%","","59.5%","","67.1%",""
"In civilian labor force, female, percent of population age 16 years+, 2018-2022","","55.8%","","58.3%","","58.6%","","60.9%","","55.6%","","63.7%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","9,250,818","","11,803,851","","28,849,427","","3,617,892","","13,384,956","","2,315,474",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","27,031,038","","33,083,776","","116,621,778","","9,574,038","","29,454,871","","8,714,410",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","12,698,585","","8,813,005","","28,710,741","","1,366,689","","7,567,557","","1,686,473",""
"Total retail sales, 2017 ($1,000)","(c)","53,382,094","","61,699,338","","234,836,340","","13,843,531","","69,980,063","","14,673,737",""
"Total retail sales per capita, 2017","(c)","$13,571","","$14,877","","$18,354","","$13,103","","$13,921","","$16,794",""
"Mean travel time to work (minutes), workers age 16 years+, 2018-2022","","22.3","","23.3","","26.7","","25.3","","25.5","","17.4",""
"Median household income (in 2022 dollars), 2018-2022","","$61,364","","$76,632","","$73,170","","$81,370","","$63,623","","$69,457",""
"Per capita income in past 12 months (in 2022 dollars), 2018-2022","","$33,630","","$41,805","","$41,234","","$43,324","","$36,072","","$36,850",""
"Persons in poverty, percent","","15.7%","","12.1%","","11.8%","","10.8%","","14.0%","","12.5%",""
"Total employer establishments, 2022","","95,748","","122,397","","307,685","","29,490","","120,769","","28,857",""
"Total employment, 2022","","1,390,468","","1,666,806","","5,584,830","","439,021","","2,013,315","","373,863",""
"Total annual payroll, 2022 ($1,000)","","73,540,249","","104,057,684","","341,442,697","","25,938,110","","102,955,987","","19,670,042",""
"Total employment, percent change, 2021-2022","","3.3%","","5.8%","","5.8%","","6.4%","","4.0%","","2.7%",""
"Total nonemployer establishments, 2021","","311,072","","313,845","","902,764","","86,511","","420,050","","72,204",""
"All employer firms, Reference year 2017","","69,197","","90,979","","216,320","","23,291","","76,687","","22,626",""
"Men-owned employer firms, Reference year 2017","","39,611","","48,639","","140,151","","14,406","","47,619","","12,150",""
"Women-owned employer firms, Reference year 2017","","12,764","","18,447","","37,987","","4,084","","14,249","","3,006",""
"Minority-owned employer firms, Reference year 2017","","8,806","","9,559","","20,143","","1,661","","8,254","","570",""
"Nonminority-owned employer firms, Reference year 2017","","53,376","","73,384","","179,695","","19,404","","62,728","","19,757",""
"Veteran-owned employer firms, Reference year 2017","","5,250","","5,759","","13,998","","1,566","","7,123","","1,683",""
"Nonveteran-owned employer firms, Reference year 2017","","56,225","","75,859","","182,486","","18,963","","61,908","","17,748",""
"Population per square mile, 2020","","57.7","","44.1","","290.6","","1,061.4","","170.3","","11.7",""
"Population per square mile, 2010","","54.7","","39.9","","283.9","","1,018.1","","153.9","","10.7",""
"Land area in square miles, 2020","","68,596.53","","95,995.98","","44,742.27","","1,033.89","","30,064.28","","75,809.61",""
"Land area in square miles, 2010","","68,594.92","","95,988.01","","44,742.70","","1,033.81","","30,060.70","","75,811.00",""
"FIPS Code","","""40""","","""41""","","""42""","","""44""","","""45""","","""46""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"1","Includes data not distributed by county.","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
