"Fact","Fact Note","Tennessee","Value Note for Tennessee","Texas","Value Note for Texas","Utah","Value Note for Utah","Virginia","Value Note for Virginia","Vermont","Value Note for Vermont","Washington","Value Note for Washington"
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","22,870,848","","101,947,033","","10,193,997","","20,071,064","","772,885","","21,845,661",""
"Total retail sales, 2017 ($1,000)","(c)","101,978,270","","417,231,877","","50,008,311","","120,162,088","","10,811,281","","160,284,785",""
"Total retail sales per capita, 2017","(c)","$15,187","","$14,748","","$16,113","","$14,185","","$17,294","","$21,579",""
"Mean travel time to work (minutes), workers age 16 years+, 2018-2022","","25.5","","26.6","","21.9","","27.9","","23.3","","27.3",""
"Median household income (in 2022 dollars), 2018-2022","","$64,035","","$73,035","","$86,833","","$87,249","","$74,014","","$90,325",""
"Per capita income in past 12 months (in 2022 dollars), 2018-2022","","$36,040","","$37,514","","$37,023","","$47,210","","$41,680","","$48,685",""
"Persons in poverty, percent","","13.3%","","14.0%","","8.2%","","10.6%","","10.4%","","10.0%",""
"Total employer establishments, 2022","","147,924","","657,362","","93,706","","209,244","","20,868","","202,005",""
"Total employment, 2022","","2,846,881","","11,507,642","","1,521,640","","3,494,956","","254,471","","2,978,277",""
"Total annual payroll, 2022 ($1,000)","","161,157,703","","737,188,384","","89,418,575","","234,462,103","","13,729,536","","241,782,080",""
"Total employment, percent change, 2021-2022","","5.3%","","6.6%","","6.1%","","4.6%","","6.1%","","5.6%",""
"Total nonemployer establishments, 2021","","609,834","","2,865,697","","277,813","","698,317","","63,459","","512,400",""
"All employer firms, Reference year 2017","","91,932","","423,488","","65,430","","144,431","","17,206","","148,824",""
"Men-owned employer firms, Reference year 2017","","56,038","","248,029","","39,451","","85,794","","9,255","","75,886",""
"Women-owned employer firms, Reference year 2017","","16,428","","85,010","","10,215","","31,800","","2,649","","29,770",""
"Minority-owned employer firms, Reference year 2017","","9,966","","111,086","","4,238","","28,262","","417","","23,641",""
"Nonminority-owned employer firms, Reference year 2017","","73,906","","280,280","","56,456","","104,764","","14,640","","112,417",""
"Veteran-owned employer firms, Reference year 2017","","7,157","","27,092","","3,037","","12,889","","921","","8,687",""
"Nonveteran-owned employer firms, Reference year 2017","","74,625","","361,218","","56,718","","118,354","","13,703","","124,377",""
"Population per square mile, 2020","","167.6","","111.6","","39.7","","218.6","","69.8","","115.9",""
"Population per square mile, 2010","","153.9","","96.3","","33.6","","202.6","","67.9","","101.2",""
"Land area in square miles, 2020","","41,232.49","","261,267.85","","82,376.85","","39,482.11","","9,217.45","","66,455.12",""
"Land area in square miles, 2010","","41,234.90","","261,231.71","","82,169.62","","39,490.09","","9,216.66","","66,455.52",""
"FIPS Code","","""47""","","""48""","","""49""","","""51""","","""50""","","""53""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
