"Fact","Fact Note","Missouri","Value Note for Missouri","Mississippi","Value Note for Mississippi","Montana","Value Note for Montana","North Carolina","Value Note for North Carolina","North Dakota","Value Note for North Dakota","Nebraska","Value Note for Nebraska"
"Mean travel time to work (minutes), workers age 16 years+, 2018-2022","","23.8","","25.4","","18.8","","25.0","","17.9","","19.1",""
"Median household income (in 2022 dollars), 2018-2022","","$65,920","","$52,985","","$66,341","","$66,186","","$73,959","","$71,722",""
"Per capita income in past 12 months (in 2022 dollars), 2018-2022","","$36,754","","$29,209","","$37,837","","$37,641","","$40,748","","$38,585",""
"Persons in poverty, percent","","13.2%","","19.1%","","12.1%","","12.8%","","11.5%","","11.2%",""
"Total employer establishments, 2022","","153,767","","60,469","","42,015","","254,636","","25,098","","56,319",""
"Total employment, 2022","","2,564,383","","944,580","","398,871","","4,106,761","","342,345","","890,050",""
"Total annual payroll, 2022 ($1,000)","","149,534,361","","43,003,532","","20,101,686","","240,894,189","","20,355,440","","50,451,717",""
"Total employment, percent change, 2021-2022","","3.5%","","1.5%","","4.9%","","5.2%","","2.9%","","4.5%",""
"Total nonemployer establishments, 2021","","464,848","","240,096","","102,790","","864,841","","57,232","","145,706",""
"All employer firms, Reference year 2017","","116,156","","41,265","","31,811","","166,609","","20,513","","43,344",""
"Men-owned employer firms, Reference year 2017","","62,015","","25,349","","16,154","","99,034","","11,621","","23,470",""
"Women-owned employer firms, Reference year 2017","","26,068","","6,653","","5,743","","33,128","","2,940","","6,340",""
"Minority-owned employer firms, Reference year 2017","","14,044","","4,503","","1,181","","20,659","","609","","2,101",""
"Nonminority-owned employer firms, Reference year 2017","","93,019","","32,683","","27,731","","133,887","","17,511","","37,399",""
"Veteran-owned employer firms, Reference year 2017","","7,866","","2,914","","2,004","","11,920","","1,210","","2,656",""
"Nonveteran-owned employer firms, Reference year 2017","","96,514","","33,214","","25,873","","139,423","","16,394","","35,247",""
"Population per square mile, 2020","","89.5","","63.1","","7.4","","214.7","","11.3","","25.5",""
"Population per square mile, 2010","","87.1","","63.2","","6.8","","196.1","","9.7","","23.8",""
"Land area in square miles, 2020","","68,746.48","","46,923.96","","145,550.36","","48,623.02","","68,995.86","","76,817.87",""
"Land area in square miles, 2010","","68,741.52","","46,923.27","","145,545.80","","48,617.91","","69,000.80","","76,824.17",""
"FIPS Code","","""29""","","""28""","","""30""","","""37""","","""38""","","""31""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"1","Includes data not distributed by county.","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
