"Fact","Fact Note","Connecticut","Value Note for Connecticut","District of Columbia","Value Note for District of Columbia","Delaware","Value Note for Delaware","Florida","Value Note for Florida","Georgia","Value Note for Georgia","Hawaii","Value Note for Hawaii"
"Building Permits, 2023","","6,272","","3,020","","5,765","","193,788","","63,621","","3,791",""
"Households, 2018-2022","","1,409,807","","315,785","","389,000","","8,353,441","","3,946,490","","483,906",""
"Persons per household, 2018-2022","","2.48","","2.03","","2.50","","2.53","","2.65","","2.92",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2018-2022","","88.5%","","80.8%","","88.9%","","85.6%","","86.4%","","87.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2018-2022","","22.6%","","17.5%","","13.9%","","29.9%","","14.5%","","25.7%",""
"Households with a computer, percent, 2018-2022","","94.1%","","95.4%","","94.7%","","95.2%","","94.1%","","94.5%",""
"Households with a broadband Internet subscription, percent, 2018-2022","","90.1%","","89.0%","","90.3%","","88.8%","","87.8%","","89.8%",""
"High school graduate or higher, percent of persons age 25 years+, 2018-2022","","91.3%","","92.7%","","91.2%","","89.3%","","88.7%","","92.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2018-2022","","41.4%","","62.6%","","34.5%","","32.3%","","33.6%","","34.7%",""
"With a disability, under age 65 years, percent, 2018-2022","","8.0%","","7.9%","","9.7%","","8.7%","","9.1%","","7.0%",""
"Persons without health insurance, under age 65 years, percent","","6.1%","","3.3%","","6.9%","","13.9%","","13.6%","","4.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2018-2022","","65.8%","","71.4%","","61.9%","","59.0%","","62.9%","","60.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2018-2022","","61.6%","","69.8%","","58.3%","","54.6%","","58.8%","","59.0%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","10,791,510","","6,739,810","","2,554,394","","67,950,386","","26,010,075","","12,101,847",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","35,302,415","","11,400,214","","8,855,330","","155,283,578","","68,759,707","","9,785,700",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","5,591,991","","2,155,311","","1,281,651","","68,145,959","","35,564,898","","6,431,447",""
"Total retail sales, 2017 ($1,000)","(c)","55,404,479","","5,533,913","","17,667,905","","333,134,553","","148,624,614","","21,658,911",""
"Total retail sales per capita, 2017","(c)","$15,496","","$7,939","","$18,444","","$15,881","","$14,267","","$15,191",""
"Mean travel time to work (minutes), workers age 16 years+, 2018-2022","","26.4","","30.5","","25.9","","27.9","","28.4","","26.6",""
"Median household income (in 2022 dollars), 2018-2022","","$90,213","","$101,722","","$79,325","","$67,917","","$71,355","","$94,814",""
"Per capita income in past 12 months (in 2022 dollars), 2018-2022","","$52,034","","$71,297","","$42,180","","$38,850","","$37,836","","$42,683",""
"Persons in poverty, percent","","9.8%","","13.3%","","9.4%","","12.7%","","12.7%","","10.2%",""
"Total employer establishments, 2022","","89,293","","23,874","","29,195","","633,353","","258,377","","32,863",""
"Total employment, 2022","","1,508,634","","527,355","","424,303","","9,628,867","","4,249,362","","507,390",""
"Total annual payroll, 2022 ($1,000)","","112,497,475","","52,216,924","","28,639,674","","556,430,324","","260,014,888","","28,145,945",""
"Total employment, percent change, 2021-2022","","4.6%","","9.1%","","3.8%","","8.5%","","5.3%","","8.1%",""
"Total nonemployer establishments, 2021","","297,768","","60,405","","82,211","","2,770,424","","1,127,751","","115,475",""
"All employer firms, Reference year 2017","","68,248","","14,977","","19,704","","438,491","","171,986","","23,731",""
"Men-owned employer firms, Reference year 2017","","43,477","","7,878","","11,571","","261,671","","106,316","","13,027",""
"Women-owned employer firms, Reference year 2017","","12,014","","2,932","","3,144","","93,163","","35,855","","4,830",""
"Minority-owned employer firms, Reference year 2017","","8,322","","3,917","","2,732","","102,627","","34,980","","12,087",""
"Nonminority-owned employer firms, Reference year 2017","","53,238","","7,629","","14,148","","309,451","","125,364","","8,317",""
"Veteran-owned employer firms, Reference year 2017","","3,685","","655","","1,293","","28,391","","12,988","","S",""
"Nonveteran-owned employer firms, Reference year 2017","","57,353","","11,074","","15,232","","382,527","","144,508","","18,946",""
"Population per square mile, 2020","","744.7","","11,280.7","","508.0","","401.4","","185.6","","226.6",""
"Population per square mile, 2010","","738.1","","9,856.5","","460.8","","350.6","","168.4","","211.8",""
"Land area in square miles, 2020","","4,842.37","","61.13","","1,948.55","","53,652.17","","57,716.96","","6,422.48",""
"Land area in square miles, 2010","","4,842.36","","61.05","","1,948.54","","53,624.76","","57,513.49","","6,422.63",""
"FIPS Code","","""09""","","""11""","","""10""","","""12""","","""13""","","""15""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
