"Fact","Fact Note","Wisconsin","Value Note for Wisconsin","West Virginia","Value Note for West Virginia","Wyoming","Value Note for Wyoming"
"Per capita income in past 12 months (in 2022 dollars), 2018-2022","","$40,130","","$31,462","","$39,547",""
"Persons in poverty, percent","","10.7%","","17.9%","","11.8%",""
"Total employer establishments, 2022","","144,443","","35,530","","23,196",""
"Total employment, 2022","","2,600,303","","540,468","","208,024",""
"Total annual payroll, 2022 ($1,000)","","153,219,064","","26,501,437","","11,583,647",""
"Total employment, percent change, 2021-2022","","3.2%","","4.1%","","4.6%",""
"Total nonemployer establishments, 2021","","374,951","","91,015","","59,058",""
"All employer firms, Reference year 2017","","104,760","","24,430","","17,548",""
"Men-owned employer firms, Reference year 2017","","59,602","","14,791","","8,925",""
"Women-owned employer firms, Reference year 2017","","17,085","","3,728","","3,051",""
"Minority-owned employer firms, Reference year 2017","","5,817","","1,116","","889",""
"Nonminority-owned employer firms, Reference year 2017","","90,255","","20,383","","14,744",""
"Veteran-owned employer firms, Reference year 2017","","5,771","","1,872","","1,154",""
"Nonveteran-owned employer firms, Reference year 2017","","87,592","","19,020","","14,123",""
"Population per square mile, 2020","","108.8","","74.6","","5.9",""
"Population per square mile, 2010","","105.0","","77.1","","5.8",""
"Land area in square miles, 2020","","54,167.14","","24,041.15","","97,088.76",""
"Land area in square miles, 2010","","54,157.80","","24,038.21","","97,093.14",""
"FIPS Code","","""55""","","""54""","","""56""",""
"","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","",""
"","","","","","","",""
"Value Notes","","","","","","",""
"None","","","","","","",""
"","","","","","","",""
"Fact Notes","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","",""
"","","","","","","",""
"Value Flags","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","",""
"F","Fewer than 25 firms","","","","","",""
"FN","Footnote on this item in place of data","","","","","",""
"NA","Not available","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","",""
"X","Not applicable","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","",""
