field	baseline_enumeration	enumeration_description
in.ahs_region	Non-CBSA New England	American Housing Survey region New England
in.ahs_region	Non-CBSA Pacific	American Housing Survey region Pacific
in.ahs_region	Non-CBSA South Atlantic	American Housing Survey region South Atlantic
in.ahs_region	Non-CBSA West North Central	American Housing Survey region West North Central
in.ahs_region	Non-CBSA West South Central	American Housing Survey region West South Central
in.ashrae_iecc_climate_zone_2004	1A	IECC Climate Zone 1A
in.ashrae_iecc_climate_zone_2004	2A	IECC Climate Zone 2A
in.ashrae_iecc_climate_zone_2004	2B	IECC Climate Zone 2B
in.ashrae_iecc_climate_zone_2004	3A	IECC Climate Zone 3A
in.ashrae_iecc_climate_zone_2004	3B	IECC Climate Zone 3B
in.ashrae_iecc_climate_zone_2004	3C	IECC Climate Zone 3C
in.ashrae_iecc_climate_zone_2004	4A	IECC Climate Zone 4A
in.ashrae_iecc_climate_zone_2004	4B	IECC Climate Zone 4B
in.ashrae_iecc_climate_zone_2004	4C	IECC Climate Zone 4C
in.ashrae_iecc_climate_zone_2004	5A	IECC Climate Zone 5A
in.ashrae_iecc_climate_zone_2004	5B	IECC Climate Zone 5B
in.ashrae_iecc_climate_zone_2004	6A	IECC Climate Zone 6A
in.ashrae_iecc_climate_zone_2004	6B	IECC Climate Zone 6B
in.ashrae_iecc_climate_zone_2004	7A	IECC Climate Zone 7A
in.ashrae_iecc_climate_zone_2004	7B	IECC Climate Zone 7B
in.ashrae_iecc_climate_zone_2004_2_a_split	1A	IECC Climate Zone 1A
in.ashrae_iecc_climate_zone_2004_2_a_split	2A - FL, GA, AL, MS	Portion of IECC Climate Zone 2A - representing only Florida, Georgia, Alabama, and Mississippi
in.ashrae_iecc_climate_zone_2004_2_a_split	2A - TX, LA	Portion of IECC IECC Climate Zone 2A - representing only Texas and Louisiana
in.ashrae_iecc_climate_zone_2004_2_a_split	2B	IECC Climate Zone 2B
in.ashrae_iecc_climate_zone_2004_2_a_split	3A	IECC Climate Zone 3A
in.ashrae_iecc_climate_zone_2004_2_a_split	3B	IECC Climate Zone 3B
in.ashrae_iecc_climate_zone_2004_2_a_split	3C	IECC Climate Zone 3C
in.ashrae_iecc_climate_zone_2004_2_a_split	4A	IECC Climate Zone 4A
in.ashrae_iecc_climate_zone_2004_2_a_split	4B	IECC Climate Zone 4B
in.ashrae_iecc_climate_zone_2004_2_a_split	4C	IECC Climate Zone 4C
in.ashrae_iecc_climate_zone_2004_2_a_split	5A	IECC Climate Zone 5A
in.ashrae_iecc_climate_zone_2004_2_a_split	5B	IECC Climate Zone 5B
in.ashrae_iecc_climate_zone_2004_2_a_split	6A	IECC Climate Zone 6A
in.ashrae_iecc_climate_zone_2004_2_a_split	6B	IECC Climate Zone 6B
in.ashrae_iecc_climate_zone_2004_2_a_split	7A	IECC Climate Zone 7A
in.ashrae_iecc_climate_zone_2004_2_a_split	7B	IECC Climate Zone 7B
in.bathroom_spot_vent_hour	Hour0	Bathroom spot ventilation occurs at hour 0, and lasts for 1 hour
in.bathroom_spot_vent_hour	Hour1	Bathroom spot ventilation occurs at hour 1, and lasts for 1 hour
in.bathroom_spot_vent_hour	Hour10	Bathroom spot ventilation occurs at hour 10, and lasts for 1 hour
in.bathroom_spot_vent_hour	Hour11	Bathroom spot ventilation occurs at hour 11, and lasts for 1 hour
in.bathroom_spot_vent_hour	Hour12	Bathroom spot ventilation occurs at hour 12, and lasts for 1 hour
in.bathroom_spot_vent_hour	Hour13	Bathroom spot ventilation occurs at hour 13, and lasts for 1 hour
in.bathroom_spot_vent_hour	Hour14	Bathroom spot ventilation occurs at hour 14, and lasts for 1 hour
in.bathroom_spot_vent_hour	Hour15	Bathroom spot ventilation occurs at hour 15, and lasts for 1 hour
in.bathroom_spot_vent_hour	Hour16	Bathroom spot ventilation occurs at hour 16, and lasts for 1 hour
in.bathroom_spot_vent_hour	Hour17	Bathroom spot ventilation occurs at hour 17, and lasts for 1 hour
in.bathroom_spot_vent_hour	Hour18	Bathroom spot ventilation occurs at hour 18, and lasts for 1 hour
in.bathroom_spot_vent_hour	Hour19	Bathroom spot ventilation occurs at hour 19, and lasts for 1 hour
in.bathroom_spot_vent_hour	Hour2	Bathroom spot ventilation occurs at hour 2, and lasts for 1 hour
in.bathroom_spot_vent_hour	Hour20	Bathroom spot ventilation occurs at hour 20, and lasts for 1 hour
in.bathroom_spot_vent_hour	Hour21	Bathroom spot ventilation occurs at hour 21, and lasts for 1 hour
in.bathroom_spot_vent_hour	Hour22	Bathroom spot ventilation occurs at hour 22, and lasts for 1 hour
in.bathroom_spot_vent_hour	Hour23	Bathroom spot ventilation occurs at hour 23, and lasts for 1 hour
in.bathroom_spot_vent_hour	Hour3	Bathroom spot ventilation occurs at hour 3, and lasts for 1 hour
in.bathroom_spot_vent_hour	Hour4	Bathroom spot ventilation occurs at hour 4, and lasts for 1 hour
in.bathroom_spot_vent_hour	Hour5	Bathroom spot ventilation occurs at hour 5, and lasts for 1 hour
in.bathroom_spot_vent_hour	Hour6	Bathroom spot ventilation occurs at hour 6, and lasts for 1 hour
in.bathroom_spot_vent_hour	Hour7	Bathroom spot ventilation occurs at hour 7, and lasts for 1 hour
in.bathroom_spot_vent_hour	Hour8	Bathroom spot ventilation occurs at hour 8, and lasts for 1 hour
in.bathroom_spot_vent_hour	Hour9	Bathroom spot ventilation occurs at hour 9, and lasts for 1 hour
in.bedrooms	1	1 bedrooms in housing unit
in.bedrooms	2	2 bedrooms in housing unit
in.bedrooms	3	3 bedrooms in housing unit
in.bedrooms	4	4 bedrooms in housing unit
in.bedrooms	5	5 bedrooms in housing unit
in.building_america_climate_zone	Cold	Building America climate zone Cold
in.building_america_climate_zone	Hot-Dry	Building America climate zone Hot-Dry
in.building_america_climate_zone	Hot-Humid	Building America climate zone Hot-Humid
in.building_america_climate_zone	Marine	Building America climate zone Marine
in.building_america_climate_zone	Mixed-Dry	Building America climate zone Mixed-Dry
in.building_america_climate_zone	Mixed-Humid	Building America climate zone Mixed-Humid
in.building_america_climate_zone	Very Cold	Building America climate zone Very Cold
in.cec_climate_zone	1	California Energy Code climate zone 1
in.cec_climate_zone	10	California Energy Code climate zone 10
in.cec_climate_zone	11	California Energy Code climate zone 11
in.cec_climate_zone	12	California Energy Code climate zone 12
in.cec_climate_zone	13	California Energy Code climate zone 13
in.cec_climate_zone	14	California Energy Code climate zone 14
in.cec_climate_zone	15	California Energy Code climate zone 15
in.cec_climate_zone	16	California Energy Code climate zone 16
in.cec_climate_zone	2	California Energy Code climate zone 2
in.cec_climate_zone	3	California Energy Code climate zone 3
in.cec_climate_zone	4	California Energy Code climate zone 4
in.cec_climate_zone	5	California Energy Code climate zone 5
in.cec_climate_zone	6	California Energy Code climate zone 6
in.cec_climate_zone	7	California Energy Code climate zone 7
in.cec_climate_zone	8	California Energy Code climate zone 8
in.cec_climate_zone	9	California Energy Code climate zone 9
in.cec_climate_zone	None	No California Energy Code climate zone
in.ceiling_fan	None	No ceiling fan
in.ceiling_fan	Standard Efficiency	42.6 W power consumption per fan at medium speed
in.ceiling_fan	Standard Efficiency, No usage	Standard efficiency fan applied but not used
in.census_division	East North Central	East North Central 2010 U.S. Census Division
in.census_division	East South Central	East South Central 2010 U.S. Census Division
in.census_division	Middle Atlantic	Middle Atlantic 2010 U.S. Census Division
in.census_division	Mountain	Mountain 2010 U.S. Census Division
in.census_division	New England	New England 2010 U.S. Census Division
in.census_division	Pacific	Pacific 2010 U.S. Census Division
in.census_division	South Atlantic	South Atlantic 2010 U.S. Census Division
in.census_division	West North Central	West North Central 2010 U.S. Census Division
in.census_division	West South Central	West South Central 2010 U.S. Census Division
in.census_division_recs	East North Central	East North Central 2010 U.S. Census Division
in.census_division_recs	East South Central	East South Central 2010 U.S. Census Division
in.census_division_recs	Middle Atlantic	Middle Atlantic 2010 U.S. Census Division
in.census_division_recs	Mountain North	Mountain North 2010 U.S. Census Division
in.census_division_recs	Mountain South	Mountain South 2010 U.S. Census Division
in.census_division_recs	New England	New England 2010 U.S. Census Division
in.census_division_recs	Pacific	Pacific 2010 U.S. Census Division
in.census_division_recs	South Atlantic	South Atlantic 2010 U.S. Census Division
in.census_division_recs	West North Central	West North Central 2010 U.S. Census Division
in.census_division_recs	West South Central	West South Central 2010 U.S. Census Division
in.census_region	Midwest	Midwest 2010 U.S. Census Division
in.census_region	Northeast	Northeast 2010 U.S. Census Division
in.census_region	South	South 2010 U.S. Census Division
in.census_region	West	West 2010 U.S. Census Division
in.city	AL, Auburn	NA
in.city	AL, Birmingham	NA
in.city	AL, Decatur	NA
in.city	AL, Dothan	NA
in.city	AL, Florence	NA
in.city	AL, Gadsden	NA
in.city	AL, Hoover	NA
in.city	AL, Huntsville	NA
in.city	AL, Madison	NA
in.city	AL, Mobile	NA
in.city	AL, Montgomery	NA
in.city	AL, Phenix City	NA
in.city	AL, Tuscaloosa	NA
in.city	AR, Bentonville	NA
in.city	AR, Conway	NA
in.city	AR, Fayetteville	NA
in.city	AR, Fort Smith	NA
in.city	AR, Hot Springs	NA
in.city	AR, Jonesboro	NA
in.city	AR, Little Rock	NA
in.city	AR, North Little Rock	NA
in.city	AR, Pine Bluff	NA
in.city	AR, Rogers	NA
in.city	AR, Springdale	NA
in.city	AZ, Apache Junction	NA
in.city	AZ, Avondale	NA
in.city	AZ, Buckeye	NA
in.city	AZ, Bullhead City	NA
in.city	AZ, Casa Grande	NA
in.city	AZ, Casas Adobes	NA
in.city	AZ, Catalina Foothills	NA
in.city	AZ, Chandler	NA
in.city	AZ, Flagstaff	NA
in.city	AZ, Fortuna Foothills	NA
in.city	AZ, Gilbert	NA
in.city	AZ, Glendale	NA
in.city	AZ, Goodyear	NA
in.city	AZ, Green Valley	NA
in.city	AZ, Lake Havasu City	NA
in.city	AZ, Marana	NA
in.city	AZ, Maricopa	NA
in.city	AZ, Mesa	NA
in.city	AZ, Oro Valley	NA
in.city	AZ, Peoria	NA
in.city	AZ, Phoenix	NA
in.city	AZ, Prescott	NA
in.city	AZ, Prescott Valley	NA
in.city	AZ, San Tan Valley	NA
in.city	AZ, Scottsdale	NA
in.city	AZ, Sierra Vista	NA
in.city	AZ, Sun City	NA
in.city	AZ, Sun City West	NA
in.city	AZ, Surprise	NA
in.city	AZ, Tempe	NA
in.city	AZ, Tucson	NA
in.city	AZ, Yuma	NA
in.city	CA, Alameda	NA
in.city	CA, Alhambra	NA
in.city	CA, Aliso Viejo	NA
in.city	CA, Altadena	NA
in.city	CA, Anaheim	NA
in.city	CA, Antioch	NA
in.city	CA, Apple Valley	NA
in.city	CA, Arcadia	NA
in.city	CA, Arden-Arcade	NA
in.city	CA, Bakersfield	NA
in.city	CA, Baldwin Park	NA
in.city	CA, Bellflower	NA
in.city	CA, Berkeley	NA
in.city	CA, Beverly Hills	NA
in.city	CA, Brea	NA
in.city	CA, Brentwood	NA
in.city	CA, Buena Park	NA
in.city	CA, Burbank	NA
in.city	CA, Camarillo	NA
in.city	CA, Campbell	NA
in.city	CA, Carlsbad	NA
in.city	CA, Carmichael	NA
in.city	CA, Carson	NA
in.city	CA, Castro Valley	NA
in.city	CA, Cathedral City	NA
in.city	CA, Cerritos	NA
in.city	CA, Chico	NA
in.city	CA, Chino	NA
in.city	CA, Chino Hills	NA
in.city	CA, Chula Vista	NA
in.city	CA, Citrus Heights	NA
in.city	CA, Clovis	NA
in.city	CA, Colton	NA
in.city	CA, Compton	NA
in.city	CA, Concord	NA
in.city	CA, Corona	NA
in.city	CA, Costa Mesa	NA
in.city	CA, Covina	NA
in.city	CA, Culver City	NA
in.city	CA, Cupertino	NA
in.city	CA, Cypress	NA
in.city	CA, Daly City	NA
in.city	CA, Dana Point	NA
in.city	CA, Danville	NA
in.city	CA, Davis	NA
in.city	CA, Diamond Bar	NA
in.city	CA, Downey	NA
in.city	CA, Dublin	NA
in.city	CA, East Los Angeles	NA
in.city	CA, El Cajon	NA
in.city	CA, El Dorado Hills	NA
in.city	CA, El Monte	NA
in.city	CA, Elk Grove	NA
in.city	CA, Encinitas	NA
in.city	CA, Escondido	NA
in.city	CA, Fairfield	NA
in.city	CA, Florence-Graham	NA
in.city	CA, Florin	NA
in.city	CA, Folsom	NA
in.city	CA, Fontana	NA
in.city	CA, Fountain Valley	NA
in.city	CA, Fremont	NA
in.city	CA, Fresno	NA
in.city	CA, Fullerton	NA
in.city	CA, Garden Grove	NA
in.city	CA, Gardena	NA
in.city	CA, Gilroy	NA
in.city	CA, Glendale	NA
in.city	CA, Glendora	NA
in.city	CA, Hacienda Heights	NA
in.city	CA, Hanford	NA
in.city	CA, Hawthorne	NA
in.city	CA, Hayward	NA
in.city	CA, Hemet	NA
in.city	CA, Hesperia	NA
in.city	CA, Highland	NA
in.city	CA, Huntington Beach	NA
in.city	CA, Huntington Park	NA
in.city	CA, Indio	NA
in.city	CA, Inglewood	NA
in.city	CA, Irvine	NA
in.city	CA, La Habra	NA
in.city	CA, La Mesa	NA
in.city	CA, La Quinta	NA
in.city	CA, Laguna Niguel	NA
in.city	CA, Lake Elsinore	NA
in.city	CA, Lake Forest	NA
in.city	CA, Lakewood	NA
in.city	CA, Lancaster	NA
in.city	CA, Lincoln	NA
in.city	CA, Livermore	NA
in.city	CA, Lodi	NA
in.city	CA, Long Beach	NA
in.city	CA, Los Angeles	NA
in.city	CA, Lynwood	NA
in.city	CA, Madera	NA
in.city	CA, Manhattan Beach	NA
in.city	CA, Manteca	NA
in.city	CA, Martinez	NA
in.city	CA, Menifee	NA
in.city	CA, Merced	NA
in.city	CA, Milpitas	NA
in.city	CA, Mission Viejo	NA
in.city	CA, Modesto	NA
in.city	CA, Montebello	NA
in.city	CA, Monterey Park	NA
in.city	CA, Moreno Valley	NA
in.city	CA, Mountain View	NA
in.city	CA, Murrieta	NA
in.city	CA, Napa	NA
in.city	CA, National City	NA
in.city	CA, Newport Beach	NA
in.city	CA, North Highlands	NA
in.city	CA, Norwalk	NA
in.city	CA, Novato	NA
in.city	CA, Oakland	NA
in.city	CA, Oceanside	NA
in.city	CA, Ontario	NA
in.city	CA, Orange	NA
in.city	CA, Oxnard	NA
in.city	CA, Palm Desert	NA
in.city	CA, Palm Springs	NA
in.city	CA, Palmdale	NA
in.city	CA, Palo Alto	NA
in.city	CA, Pasadena	NA
in.city	CA, Perris	NA
in.city	CA, Petaluma	NA
in.city	CA, Pico Rivera	NA
in.city	CA, Pittsburg	NA
in.city	CA, Placentia	NA
in.city	CA, Pleasanton	NA
in.city	CA, Pomona	NA
in.city	CA, Porterville	NA
in.city	CA, Poway	NA
in.city	CA, Rancho Cordova	NA
in.city	CA, Rancho Cucamonga	NA
in.city	CA, Rancho Palos Verdes	NA
in.city	CA, Rancho Santa Margarita	NA
in.city	CA, Redding	NA
in.city	CA, Redlands	NA
in.city	CA, Redondo Beach	NA
in.city	CA, Redwood City	NA
in.city	CA, Rialto	NA
in.city	CA, Richmond	NA
in.city	CA, Riverside	NA
in.city	CA, Rocklin	NA
in.city	CA, Rohnert Park	NA
in.city	CA, Rosemead	NA
in.city	CA, Roseville	NA
in.city	CA, Rowland Heights	NA
in.city	CA, Sacramento	NA
in.city	CA, Salinas	NA
in.city	CA, San Bernardino	NA
in.city	CA, San Bruno	NA
in.city	CA, San Buenaventura Ventura	NA
in.city	CA, San Clemente	NA
in.city	CA, San Diego	NA
in.city	CA, San Francisco	NA
in.city	CA, San Jose	NA
in.city	CA, San Leandro	NA
in.city	CA, San Luis Obispo	NA
in.city	CA, San Marcos	NA
in.city	CA, San Mateo	NA
in.city	CA, San Rafael	NA
in.city	CA, San Ramon	NA
in.city	CA, Santa Ana	NA
in.city	CA, Santa Barbara	NA
in.city	CA, Santa Clara	NA
in.city	CA, Santa Clarita	NA
in.city	CA, Santa Cruz	NA
in.city	CA, Santa Maria	NA
in.city	CA, Santa Monica	NA
in.city	CA, Santa Rosa	NA
in.city	CA, Santee	NA
in.city	CA, Simi Valley	NA
in.city	CA, South Gate	NA
in.city	CA, South Lake Tahoe	NA
in.city	CA, South San Francisco	NA
in.city	CA, South Whittier	NA
in.city	CA, Stockton	NA
in.city	CA, Sunnyvale	NA
in.city	CA, Temecula	NA
in.city	CA, Thousand Oaks	NA
in.city	CA, Torrance	NA
in.city	CA, Tracy	NA
in.city	CA, Tulare	NA
in.city	CA, Turlock	NA
in.city	CA, Tustin	NA
in.city	CA, Union City	NA
in.city	CA, Upland	NA
in.city	CA, Vacaville	NA
in.city	CA, Vallejo	NA
in.city	CA, Victorville	NA
in.city	CA, Visalia	NA
in.city	CA, Vista	NA
in.city	CA, Walnut Creek	NA
in.city	CA, West Covina	NA
in.city	CA, West Hollywood	NA
in.city	CA, West Sacramento	NA
in.city	CA, Westminster	NA
in.city	CA, Whittier	NA
in.city	CA, Woodland	NA
in.city	CA, Yorba Linda	NA
in.city	CA, Yuba City	NA
in.city	CA, Yucaipa	NA
in.city	CO, Arvada	NA
in.city	CO, Aurora	NA
in.city	CO, Boulder	NA
in.city	CO, Broomfield	NA
in.city	CO, Castle Rock	NA
in.city	CO, Centennial	NA
in.city	CO, Colorado Springs	NA
in.city	CO, Commerce City	NA
in.city	CO, Denver	NA
in.city	CO, Englewood	NA
in.city	CO, Fort Collins	NA
in.city	CO, Grand Junction	NA
in.city	CO, Greeley	NA
in.city	CO, Highlands Ranch	NA
in.city	CO, Lakewood	NA
in.city	CO, Littleton	NA
in.city	CO, Longmont	NA
in.city	CO, Loveland	NA
in.city	CO, Parker	NA
in.city	CO, Pueblo	NA
in.city	CO, Thornton	NA
in.city	CO, Westminster	NA
in.city	CT, Bridgeport	NA
in.city	CT, Bristol	NA
in.city	CT, Danbury	NA
in.city	CT, East Hartford	NA
in.city	CT, Hartford	NA
in.city	CT, Meriden	NA
in.city	CT, Middletown	NA
in.city	CT, Milford City Balance	NA
in.city	CT, New Britain	NA
in.city	CT, New Haven	NA
in.city	CT, Norwalk	NA
in.city	CT, Norwich	NA
in.city	CT, Shelton	NA
in.city	CT, Stamford	NA
in.city	CT, Stratford	NA
in.city	CT, Torrington	NA
in.city	CT, Waterbury	NA
in.city	CT, West Hartford	NA
in.city	CT, West Haven	NA
in.city	DC, Washington	NA
in.city	DE, Dover	NA
in.city	DE, Wilmington	NA
in.city	FL, Alafaya	NA
in.city	FL, Altamonte Springs	NA
in.city	FL, Apopka	NA
in.city	FL, Aventura	NA
in.city	FL, Boca Raton	NA
in.city	FL, Bonita Springs	NA
in.city	FL, Boynton Beach	NA
in.city	FL, Bradenton	NA
in.city	FL, Brandon	NA
in.city	FL, Cape Coral	NA
in.city	FL, Carrollwood	NA
in.city	FL, Clearwater	NA
in.city	FL, Coconut Creek	NA
in.city	FL, Coral Gables	NA
in.city	FL, Coral Springs	NA
in.city	FL, Country Club	NA
in.city	FL, Dania Beach	NA
in.city	FL, Davie	NA
in.city	FL, Daytona Beach	NA
in.city	FL, Deerfield Beach	NA
in.city	FL, Delray Beach	NA
in.city	FL, Deltona	NA
in.city	FL, Doral	NA
in.city	FL, Dunedin	NA
in.city	FL, East Lake	NA
in.city	FL, Estero	NA
in.city	FL, Fort Lauderdale	NA
in.city	FL, Fort Myers	NA
in.city	FL, Fort Pierce	NA
in.city	FL, Fountainebleau	NA
in.city	FL, Four Corners	NA
in.city	FL, Gainesville	NA
in.city	FL, Greenacres	NA
in.city	FL, Hallandale Beach	NA
in.city	FL, Hialeah	NA
in.city	FL, Hollywood	NA
in.city	FL, Homestead	NA
in.city	FL, Jacksonville	NA
in.city	FL, Jupiter	NA
in.city	FL, Kendale Lakes	NA
in.city	FL, Kendall	NA
in.city	FL, Kissimmee	NA
in.city	FL, Lake Worth	NA
in.city	FL, Lakeland	NA
in.city	FL, Largo	NA
in.city	FL, Lauderhill	NA
in.city	FL, Lehigh Acres	NA
in.city	FL, Marco Island	NA
in.city	FL, Margate	NA
in.city	FL, Melbourne	NA
in.city	FL, Merritt Island	NA
in.city	FL, Miami	NA
in.city	FL, Miami Beach	NA
in.city	FL, Miami Gardens	NA
in.city	FL, Miramar	NA
in.city	FL, Naples	NA
in.city	FL, New Smyrna Beach	NA
in.city	FL, North Fort Myers	NA
in.city	FL, North Miami	NA
in.city	FL, North Miami Beach	NA
in.city	FL, North Port	NA
in.city	FL, Oakland Park	NA
in.city	FL, Ocala	NA
in.city	FL, Orlando	NA
in.city	FL, Ormond Beach	NA
in.city	FL, Palm Bay	NA
in.city	FL, Palm Beach Gardens	NA
in.city	FL, Palm Coast	NA
in.city	FL, Palm Harbor	NA
in.city	FL, Panama City	NA
in.city	FL, Panama City Beach	NA
in.city	FL, Pembroke Pines	NA
in.city	FL, Pensacola	NA
in.city	FL, Pine Hills	NA
in.city	FL, Pinellas Park	NA
in.city	FL, Plantation	NA
in.city	FL, Poinciana	NA
in.city	FL, Pompano Beach	NA
in.city	FL, Port Charlotte	NA
in.city	FL, Port Orange	NA
in.city	FL, Port St Lucie	NA
in.city	FL, Riverview	NA
in.city	FL, Riviera Beach	NA
in.city	FL, Sanford	NA
in.city	FL, Sarasota	NA
in.city	FL, Spring Hill	NA
in.city	FL, St Cloud	NA
in.city	FL, St Petersburg	NA
in.city	FL, Sun City Center	NA
in.city	FL, Sunny Isles Beach	NA
in.city	FL, Sunrise	NA
in.city	FL, Tallahassee	NA
in.city	FL, Tamarac	NA
in.city	FL, Tamiami	NA
in.city	FL, Tampa	NA
in.city	FL, The Hammocks	NA
in.city	FL, The Villages	NA
in.city	FL, Titusville	NA
in.city	FL, Town N Country	NA
in.city	FL, University	NA
in.city	FL, Venice	NA
in.city	FL, Wellington	NA
in.city	FL, Wesley Chapel	NA
in.city	FL, West Palm Beach	NA
in.city	FL, Weston	NA
in.city	FL, Winter Haven	NA
in.city	GA, Albany	NA
in.city	GA, Alpharetta	NA
in.city	GA, Athens-Clarke County Unified Government Balance	NA
in.city	GA, Atlanta	NA
in.city	GA, Augusta-Richmond County Consolidated Government Balance	NA
in.city	GA, Columbus	NA
in.city	GA, Dunwoody	NA
in.city	GA, East Point	NA
in.city	GA, Hinesville	NA
in.city	GA, Johns Creek	NA
in.city	GA, Mableton	NA
in.city	GA, Macon	NA
in.city	GA, Marietta	NA
in.city	GA, Newnan	NA
in.city	GA, North Atlanta	NA
in.city	GA, Rome	NA
in.city	GA, Roswell	NA
in.city	GA, Sandy Springs	NA
in.city	GA, Savannah	NA
in.city	GA, Smyrna	NA
in.city	GA, Valdosta	NA
in.city	GA, Warner Robins	NA
in.city	IA, Ames	NA
in.city	IA, Ankeny	NA
in.city	IA, Cedar Falls	NA
in.city	IA, Cedar Rapids	NA
in.city	IA, Council Bluffs	NA
in.city	IA, Davenport	NA
in.city	IA, Des Moines	NA
in.city	IA, Dubuque	NA
in.city	IA, Iowa City	NA
in.city	IA, Marion	NA
in.city	IA, Sioux City	NA
in.city	IA, Urbandale	NA
in.city	IA, Waterloo	NA
in.city	IA, West Des Moines	NA
in.city	ID, Boise City	NA
in.city	ID, Caldwell	NA
in.city	ID, Coeur Dalene	NA
in.city	ID, Idaho Falls	NA
in.city	ID, Meridian	NA
in.city	ID, Nampa	NA
in.city	ID, Pocatello	NA
in.city	ID, Twin Falls	NA
in.city	IL, Arlington Heights	NA
in.city	IL, Aurora	NA
in.city	IL, Belleville	NA
in.city	IL, Berwyn	NA
in.city	IL, Bloomington	NA
in.city	IL, Bolingbrook	NA
in.city	IL, Buffalo Grove	NA
in.city	IL, Calumet City	NA
in.city	IL, Carol Stream	NA
in.city	IL, Champaign	NA
in.city	IL, Chicago	NA
in.city	IL, Cicero	NA
in.city	IL, Crystal Lake	NA
in.city	IL, Decatur	NA
in.city	IL, Dekalb	NA
in.city	IL, Des Plaines	NA
in.city	IL, Downers Grove	NA
in.city	IL, Elgin	NA
in.city	IL, Elmhurst	NA
in.city	IL, Evanston	NA
in.city	IL, Glenview	NA
in.city	IL, Hoffman Estates	NA
in.city	IL, Joliet	NA
in.city	IL, Lombard	NA
in.city	IL, Moline	NA
in.city	IL, Mount Prospect	NA
in.city	IL, Naperville	NA
in.city	IL, Normal	NA
in.city	IL, Oak Lawn	NA
in.city	IL, Oak Park	NA
in.city	IL, Orland Park	NA
in.city	IL, Palatine	NA
in.city	IL, Peoria	NA
in.city	IL, Quincy	NA
in.city	IL, Rock Island	NA
in.city	IL, Rockford	NA
in.city	IL, Schaumburg	NA
in.city	IL, Skokie	NA
in.city	IL, Springfield	NA
in.city	IL, Tinley Park	NA
in.city	IL, Urbana	NA
in.city	IL, Waukegan	NA
in.city	IL, Wheaton	NA
in.city	IL, Wheeling	NA
in.city	IN, Anderson	NA
in.city	IN, Bloomington	NA
in.city	IN, Carmel	NA
in.city	IN, Columbus	NA
in.city	IN, Elkhart	NA
in.city	IN, Evansville	NA
in.city	IN, Fishers	NA
in.city	IN, Fort Wayne	NA
in.city	IN, Gary	NA
in.city	IN, Greenwood	NA
in.city	IN, Hammond	NA
in.city	IN, Indianapolis City Balance	NA
in.city	IN, Jeffersonville	NA
in.city	IN, Kokomo	NA
in.city	IN, Lafayette	NA
in.city	IN, Lawrence	NA
in.city	IN, Mishawaka	NA
in.city	IN, Muncie	NA
in.city	IN, New Albany	NA
in.city	IN, Noblesville	NA
in.city	IN, Portage	NA
in.city	IN, Richmond	NA
in.city	IN, South Bend	NA
in.city	IN, Terre Haute	NA
in.city	In another census Place	NA
in.city	KS, Hutchinson	NA
in.city	KS, Kansas City	NA
in.city	KS, Lawrence	NA
in.city	KS, Lenexa	NA
in.city	KS, Manhattan	NA
in.city	KS, Olathe	NA
in.city	KS, Overland Park	NA
